이름,레벨,푼 문제 번호,푼 문제의 레벨,unrated,bronze,silver,gold,platinum,diamond,ruby
김서준,2,"[24838, 9327, 14176, 25605, 9254, 28143, 15483, 2078, 8987, 11953, 3115, 2996, 26219, 23763, 17095, 25052, 3071, 17960, 26161, 25379, 28692, 15726, 9421, 15953, 5567, 24893, 28345, 2092, 10220, 1720, 1144, 11800, 28160, 1597, 26166, 27088, 19847, 27985, 2245, 27969, 22972, 12430, 18769, 14275, 26415, 23300, 1204, 14249, 25583, 9627]","[12, 15, 23, 15, 0, 18, 13, 9, 22, 21, 20, 0, 18, 20, 7, 18, 8, 23, 20, 7, 6, 2, 10, 3, 9, 16, 5, 15, 18, 12, 23, 3, 21, 0, 15, 18, 14, 20, 15, 8, 18, 17, 12, 20, 22, 11, 21, 19, 20, 8]",3.0,4.0,9.0,11.0,15.0,8.0,0.0
이수진,4,"[15480, 25564, 12859, 13877, 17615, 23045, 23807, 11060, 4493, 12840, 9316, 2311, 2158, 1009, 9208, 2530, 10934, 17119, 9043, 1415, 24901, 19855, 25403, 27471, 22232, 19947, 27886, 1140, 9074, 14842, 2456, 9498, 27988, 26527, 25904, 8926, 17072, 17954, 29203, 16724, 12425, 28423, 1166, 12977, 24053, 2385, 13977, 24044, 14603, 1970]","[19, 21, 15, 4, 10, 19, 13, 9, 3, 3, 2, 19, 13, 4, 23, 2, 0, 0, 0, 15, 0, 25, 20, 18, 8, 6, 18, 19, 0, 6, 5, 1, 12, 19, 3, 0, 5, 14, 22, 13, 15, 12, 8, 15, 11, 18, 16, 22, 20, 16]",6.0,10.0,6.0,11.0,12.0,5.0,0.0
박지영,6,"[16890, 4447, 20917, 13509, 27944, 11668, 1061, 3495, 24893, 25826, 1949, 10731, 20053, 14885, 14489, 15897, 25709, 10721, 16977, 1252, 4948, 17135, 18292, 17205, 2967, 16225, 16288, 28158, 2383, 8322, 9318, 1260, 13128, 11948, 19843, 27882, 10072, 1477, 8330, 4532, 24463, 6986, 6505, 13906, 21938, 12847, 28245, 16681, 5627, 27317]","[15, 4, 12, 20, 16, 17, 20, 10, 16, 13, 14, 14, 3, 22, 2, 14, 8, 23, 23, 4, 9, 13, 17, 11, 16, 21, 13, 22, 0, 16, 17, 9, 0, 2, 5, 17, 13, 12, 18, 0, 12, 8, 14, 18, 9, 8, 8, 14, 22, 17]",3.0,6.0,8.0,14.0,13.0,6.0,0.0
서지후,8,"[14855, 17256, 12782, 17971, 8901, 23052, 2653, 1110, 28267, 27919, 1413, 17095, 21954, 22948, 15271, 16499, 3752, 12940, 12743, 23762, 1241, 23305, 24515, 25510, 1269, 25757, 20947, 25822, 11719, 16430, 13436, 1257, 9660, 28142, 1995, 10426, 21740, 5536, 26272, 25448, 24435, 19953, 27955, 2106, 23037, 14493, 21560, 17463, 27520, 2982]","[12, 1, 7, 21, 11, 27, 12, 5, 16, 7, 16, 7, 20, 14, 17, 7, 22, 0, 16, 14, 11, 7, 18, 28, 7, 6, 12, 10, 3, 1, 0, 20, 11, 13, 0, 5, 18, 13, 23, 28, 9, 12, 18, 0, 4, 6, 21, 27, 23, 14]",4.0,6.0,10.0,12.0,9.0,5.0,4.0
김병철,7,"[17399, 14590, 11942, 23833, 9660, 24892, 5052, 14707, 1737, 12023, 1508, 2481, 27741, 12794, 10774, 9515, 2056, 16172, 25565, 3158, 1975, 14723, 1227, 22027, 16955, 10774, 10918, 9417, 2570, 16287, 2908, 25333, 3034, 18795, 1760, 2353, 3566, 25610, 4583, 11948, 1524, 1162, 13311, 28425, 23302, 12798, 18229, 20312, 25638, 1205]","[19, 15, 1, 17, 11, 15, 12, 22, 12, 22, 14, 14, 15, 22, 7, 0, 12, 4, 11, 12, 4, 4, 19, 29, 8, 7, 0, 7, 19, 16, 4, 6, 3, 4, 18, 0, 5, 19, 4, 2, 5, 15, 3, 17, 12, 20, 5, 9, 16, 7]",3.0,13.0,7.0,13.0,10.0,3.0,1.0
오도현,8,"[3136, 28279, 28280, 26088, 20932, 12836, 1782, 12778, 1415, 6293, 24431, 4530, 2216, 18238, 27931, 19242, 27529, 14462, 26075, 2889, 25168, 2207, 18445, 9333, 12991, 10847, 2616, 12797, 12991, 1540, 2859, 1578, 16910, 17442, 2481, 14076, 24908, 12817, 10874, 5004, 15664, 2843, 12093, 3124, 1717, 27516, 23848, 25310, 11727, 13261]","[17, 7, 10, 18, 17, 4, 16, 4, 15, 27, 7, 10, 13, 4, 8, 19, 17, 13, 12, 22, 12, 17, 25, 10, 14, 22, 13, 21, 14, 13, 8, 14, 21, 23, 14, 24, 0, 16, 4, 26, 9, 18, 0, 14, 11, 13, 13, 19, 8, 20]",2.0,4.0,9.0,15.0,11.0,7.0,2.0
최준서,4,"[14915, 4083, 9455, 2160, 12980, 2575, 2984, 2674, 2706, 11695, 11657, 1065, 17844, 2173, 13440, 4577, 27436, 2780, 1309, 16944, 1897, 3307, 28470, 2576, 23315, 27989, 11049, 2349, 17350, 25908, 14275, 3653, 2338, 15982, 2095, 22028, 3734, 20362, 13421, 16474, 27725, 28452, 20657, 10801, 24441, 14913, 14698, 21299, 1500, 3320]","[4, 16, 5, 5, 11, 12, 19, 19, 0, 17, 12, 7, 19, 14, 0, 13, 7, 10, 10, 4, 11, 16, 6, 3, 22, 16, 13, 0, 3, 11, 20, 17, 1, 18, 18, 24, 16, 5, 14, 16, 12, 16, 28, 4, 16, 3, 12, 0, 9, 0]",5.0,10.0,6.0,11.0,15.0,2.0,1.0
김재호,2,"[11936, 13442, 9076, 13552, 1087, 16709, 3769, 14604, 2419, 23795, 2848, 25632, 22863, 18809, 1078, 28683, 5586, 25906, 24679, 12093, 13334, 6990, 2338, 16975, 2115, 26602, 17362, 12879, 10721, 1858, 1823, 3067, 2567, 16930, 18123, 1338, 4969, 3650, 9515, 15651, 1916, 2266, 3689, 25641, 17302, 16397, 1850, 1649, 27297, 16000]","[16, 23, 4, 5, 17, 23, 20, 15, 20, 2, 17, 8, 14, 15, 20, 11, 4, 10, 19, 0, 14, 21, 1, 17, 11, 19, 2, 0, 23, 16, 13, 11, 7, 18, 22, 12, 10, 15, 0, 8, 11, 14, 13, 3, 15, 12, 10, 17, 11, 19]",3.0,7.0,6.0,16.0,13.0,5.0,0.0
김은서,1,"[2472, 28276, 2697, 18794, 1361, 1295, 25166, 28067, 11062, 2395, 25379, 20113, 22967, 24339, 16483, 10940, 3177, 2446, 3081, 11057, 16121, 15783, 3654, 2133, 1092, 28262, 3066, 1435, 3923, 14272, 7424, 19651, 20951, 16570, 10866, 26075, 16948, 26040, 15652, 17304, 21772, 10926, 2259, 23325, 10830, 26221, 17108, 15318, 16887, 2824]","[20, 17, 9, 27, 12, 24, 5, 12, 13, 15, 7, 5, 14, 14, 3, 0, 16, 3, 0, 10, 21, 17, 22, 12, 11, 21, 14, 14, 9, 22, 19, 21, 11, 16, 7, 12, 10, 3, 8, 19, 11, 1, 14, 12, 12, 21, 0, 17, 20, 10]",3.0,6.0,8.0,16.0,9.0,7.0,1.0
이영순,2,"[2705, 27947, 3088, 17282, 25382, 16114, 18292, 3987, 5373, 14465, 2258, 1756, 21980, 28694, 1303, 20192, 12932, 27942, 1047, 1268, 27447, 1398, 17251, 28140, 11571, 13309, 27919, 26522, 1055, 25908, 10936, 10220, 26155, 20933, 18196, 17393, 1378, 1380, 26595, 2893, 11134, 2907, 24886, 1557, 28437, 13442, 19529, 13540, 3645, 12891]","[10, 18, 8, 25, 20, 8, 17, 10, 16, 9, 12, 11, 9, 16, 10, 19, 16, 11, 16, 5, 11, 14, 11, 11, 11, 20, 7, 24, 18, 11, 0, 18, 15, 17, 21, 7, 0, 6, 6, 17, 3, 21, 16, 21, 13, 23, 17, 24, 20, 9]",2.0,2.0,12.0,11.0,16.0,7.0,0.0
